"x"
"1" "作者eyespot (追求內心的自在)看板Stock標題[公告] MF888 違反板規1-9-2 警告一次時間Sun Jul 22 00:02:21 2018
主旨：MF888 違反板規 1-9-2 警告一次

說明：經板主巡視看板，查MF888 發文內容，
      違反板規1-9-2，依板規處砍文處份，
      並警告一次，下次違反板規將予以水桶一週

1-9-2.有關研究生問卷調查之文，
      1.  請先站內信經板主之一認可後才可發文。
      2.  內文需說明認可板主、研究者姓名、指導教授與研究單位。
"22" "作者abcgo (真冷的冬天)看板Stock標題Re: [新聞] A股近六成銀行股破淨，高管自掏腰包保價時間Sun Jul 22 07:06:05 2018
說真的
最近看了一堆文章以後
覺得空方一直找理由
說真的債務違約會不會有風暴
會？

但是要避免債務違約有很多方式
1.找第三人擔保：QE
2.分享經營權：債轉股

已違約的債務怎麼處理
叫別人幫忙還：典型例子
一次金改約花費近新台幣1.4兆元
Google 金改

經過金改後金融業體質更強了
因為拿到稅金的無償援助

所以啦，那麼多種手段
會說債務違約會影響經濟
跟  賣美債美國會倒
跟  拔了獅子的鬃毛，掉落的頭髮會長回來

一樣的好笑.........

你會說房地美、雷曼、希臘
怎麼解釋，我只能說看一下
他們的債務現在在哪裡，
就知道為什麼當初要放給他違約

世界上最難消滅的東西是債務
但是它也是最容易處理的一件事



※ 引述《roberchu (澤澤吃炸雞)》之銘言：
: 1.原文連結：
: https://reurl.cc/rl46O
: 2.原文內容：
: 近期,P2P行業 “爆爆爆”,銀行則是“破破破”。
: 截至7月20日收盤,A股有15只銀行股“破凈”,在A股26家上市銀行中占比近六成。
: 在此狀況下,股東和高管紛紛拋出增持大招,銀行股能挺住嗎?
: 銀行股破凈潮
: 隨著大盤持續萎靡,破凈股也越來越多,其中銀行板塊成為破凈股的集中地。
: Wind數據顯示,截至7月20日收盤,26家A股上市銀行中,已有15家股價在每股凈資產下方
。
: 其中“破凈”最為嚴重的是華夏銀行,目前的市凈率(PB)僅有0.64倍。華夏銀行的股價
自
: 今年2月5日達到階段性高點10.27元之後,便開始一路下跌,截至7月20日收盤,股價已跌
至7
: .46元,相較高點幾乎跌去三成。
: 除了華夏銀行之外,民生銀行、交通銀行和光大銀行的市凈率也都在0.7倍左右。五大國
有
: 銀行中,除建設銀行勉強站上“1”以外,其餘均破凈,最低的為交通銀行,僅有0.72倍。
: 目前市凈率最高的3家銀行是招商銀行、寧波銀行和張家港行,市凈率均在1.2倍之上,分
別
: 是1.57倍、1.44倍和1.32倍。不過,相比高峰時也打折不少。據悉,2017年張家港行最為
風
: 光時,市凈率一度達到6倍。
: 財富證券的一份研報顯示,6月,銀行板塊整體估值在一路下探,7月中旬略有回升。截至7
月
: 中旬,銀行板塊整體市凈率為0.89倍,較7月初年內最低值回升約5BP,不過依舊低於過去7
年
: 的中位值(1.03倍),相比A股估值折價48%,且已經連續3個月處於破凈狀態。
: 對於上市銀行大面積“破凈”的現象,中國民生銀行首席研究員溫彬在接受《國際金融
報
: 》記者採訪時表示,銀行“破凈”在以前也出現過,而近期的“破凈”主要是跟目前資本
市
: 場的調整,指數有所回落有關。因為目前國際金融環境存在動蕩和不確定性,導致一些風
險
: 也在中國資本市場上有所體現,作為權重大的銀行板塊,估值也面臨著下行的壓力。
: “但‘破凈’並不意味著銀行業的經營出現了什麼問題。”溫彬強調,“今年以來,銀行
業
: 的營收水平保持穩定,同時整個行業的不良資產也總體可控,銀行業的經營還是比較穩健
的
: 。”
: 穩價收效甚微
: 股價節節走低,多家銀行觸發穩定股價措施。
: 7月16日晚,杭州銀行公告稱,自2018年6月19日起至2018年7月16日,該行股票已連續20個
交
: 易日的收盤價低於最近一年經審計的每股凈資產,達到觸發穩定股價措施的條件,將通過
公
: 司回購股票、公司實際控制人及其一致行動人增持公司股票,董事(不含獨立董事)、高
級
: 管理人員增持股票等方式啟動穩定股價措施。
: 杭州銀行已是近期第3家需要進行“穩價”的銀行。今年5月,上海銀行、江蘇銀行也相
繼
: 因連續20個交易日收盤價低於每股凈資產而觸發了穩定股價措施。
: 隨後,上海銀行公告稱將採取持股5%以上的股東增持股票的措施履行穩定股價義務。截
至7
: 月20日,該行已有兩家股東對其進行了增持,但收效甚微,該行收盤價依然低於每股凈資
產
: 。
: 江蘇銀行擬採取第一大股東、非獨立董事、高級管理人員增持股份的措施來穩定股價。
截
: 至7月20日,上述人士均已完成增持股份,但這期間該行收盤價同樣並未超過每股凈資產
。
: 溫彬表示,目前銀行股總體來說還是受大盤自身運行的影響大。穩定股價也是市值管理
的
: 一個手段,通常在整個股市下行,包括自身股價面臨超跌的情況下,股東進行回購增持,有
利
: 於穩定市場信心,對股價形成一個支撐。
: 西南證券研究發展中心金融組首席分析師劉嘉瑋告訴記者,在提升銀行股股價這方面,和
大
: 部分行業不同,銀行股可以選擇的方式不多。而銀行股流通盤很大,這種簡單的維穩措施
往
: 往難以解決。
: 高管自掏腰包
: 如果僅僅計算上市銀行的高管增持,那麼今年以來已有招商銀行等多家銀行的高管累計
耗
: 資超過3000萬元出手增持了自家公司的股份。
: 浦發銀行7月17日晚公告稱,該行副行長崔炳文於7月17日以自有資金從二級市場買入公
司A
: 股股票,成交價格區間為9.46元至9.47元,增持數量為5.17萬股。
: 這也是該行一周內的第7位高管增持。此前,浦發銀行行長劉信義及5位副行長分別於7月
11
: 日至12日期間以自有資金從二級市場買入公司A股股票,成交價格區間為每股9.35元至9.
58
: 元,涉及股份總數合計34.85萬股。在這之前,浦發銀行前述7位高管均未持股浦發銀行。
此
: 番增持合計涉及資金約375萬元。
: 5月8日至10日,招商銀行的10名高管以自有資金從二級市場合計買入該行A股股票85.5萬
股
: ,並自願承諾鎖定三年。成交價格區間為每股29.52元至29.97元,共計耗資超過2500萬元
。
: 兩個月後,招商銀行的兩位監事又分別在二級市場增持該行5萬股和4.5萬股,成交均價分
別
: 為26.81元/股和26.7元/股,投入資金總額分別為134.05萬元、120.15萬元。
: 除上述銀行外,交通銀行也有7位董監高在一周內合計增持25萬股(含A股和H股),成交價
格
: 區間為每股5.5元至6.04元,耗資約148萬元。其中,交行副行長吳偉在7月10日增持5萬股
,
: 董事長彭純等4位董事、副行長沈如軍、董秘顧生同於7月12日合計增持20萬股。
: 截至7月20日收盤,除招商銀行外,浦發銀行、交通銀行均處於“破凈”狀態。浦發銀行
收
: 盤價為9.87元/股,市凈率約0.73倍;交通銀行A股收盤價為5.64元/股,市凈率約0.72倍。
: 投資價值或已顯現
: 天風證券分析師廖志明指出,因貿易摩擦加劇及去杠桿等引發市場對經濟的悲觀預期,加
上
: 資管新規等落地對股市之影響,銀行(中信)指數自2月5日高點以來回調已達24%,當前銀
行
: 板塊回調幅度已很大。此外,市凈率估值已經十分接近歷史最底部,各種悲觀預期反映已
進
: 很充分了,對於銀行股可以樂觀起來。
: 招商證券的研報指出,雖然目前銀行板塊估值和2014年至2016年的最低估值接近,但目前
銀
: 行面臨的整體信用風險要低於2014年至2016年,市場對銀行過於悲觀的預期存在修復空
間
: 。
: 有市場人士認為,銀行股身為藍籌卻集體破凈,可以說估值出現嚴重低估。打折的銀行股
等
: 於投資價值進一步凸顯,同時,上市銀行高管們的增持無疑也向市場釋放了信心。
: 溫彬表示,銀行股的估值修復主要是受大盤外圍市場的影響。就銀行股自身的投資價值
而
: 言,還有很大的投資空間。“實際上,從今年開始,銀行的營收狀況還是有所改善的。同
時,
: 隨著金融監管加強以後,銀行自身的風險也有所下降。從銀行的基本面和下個階段的發
展
: 趨勢來看,仍然是一個具有投資價值的行業”。
: 有分析師表示,對於投資者來說,如果要逢低佈局銀行股的話,要有一個長遠的眼光,至少
半
: 年以上。在金融“供給側改革”背景下,建議有意向的投資者關註大型銀行,估值低、質
地
: 好、抵禦風險能力強。除了大型銀行外,還可以關註一些低估值但業績高增長的城商行
。
: 3.心得/評論：
: 究竟是自願買股票還是被自願買股票，近請期待。
: 而且有些高層原本連一股都沒持有，我的老天鵝。
: 但看看A股成交量估計慘戶也都掛了，難怪在中國常常聽到那邊的鄉民說：『人生怎樣
才
: 能更悲慘，怎樣才能把家產敗光？買股票跟P2P就對了。』
: 當然要是所有慘戶都悲觀的時候，說不定真的就是底部，或離底部不遠。

--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 223.138.26.2
※ 文章網址: https://www.ptt.cc/bbs/Stock/M.1532214367.A.1D4.html
→ piranhacat: 債轉股啦 07/22 09:09
噓 hinagiku0531: 債轉股啦...07/22 09:18
 拍謝早上剛醒打太快
※ 編輯: abcgo (218.164.162.3), 07/22/2018 09:23:42
推 ycjcsie: 希望我爸的壁紙也能股轉債 07/22 09:36
→ iele: 中國或成最大贏家 07/22 10:20
噓 jerrylin: 所以中國今年破產那麼多公司是因為它們腦殘沒想到? 07/22 10:38
推 kutkin: 要看當地銀行能不能債轉股 07/22 10:39
→ jerrylin: 債轉股  也要你的股票還有價值  不然誰跟你轉 07/22 10:39
推 roberchu: 台灣股民悲觀...中國股民看關市...這波來證明一下 07/22 10:44
→ roberchu: 要是這邊是低點...或離低點不遠 只能說中國台灣鄉民一樣 07/22 10:44
→ roberchu: 有實力... 07/22 10:44
→ roberchu: 我看中國每個股票新聞底下都是在罵XD 07/22 10:44
噓 WTF55665566: 太好了 支那就是缺這樣的鍵盤專家來當他們的經濟維 07/22 11:58
→ WTF55665566: 穩專家XD 07/22 11:58
→ WTF55665566: 然而事實上你說的那幾種方式有很多是要在市場完全透 07/22 11:59
→ WTF55665566: 明並流動的情形下才成立 07/22 11:59
→ WTF55665566: 支那市場什麼情況應該不用多說都懂啦 能這樣玩他們會 07/22 11:59
→ WTF55665566: 不玩嗎？ 07/22 11:59
→ aegis43210: 中國要解決債務很簡單，但怕的是通膨和資金湧入房地產 07/22 13:26
→ aegis43210: 通膨預期會讓無風險利率上升，投資者愛好保值型商品 07/22 13:27
→ aegis43210: 也就是實體商品-不動產，現在中國再把資金導向半導體 07/22 13:28
→ aegis43210: 如果資金又跑去做基建和炒不動產，就惡性循環了 07/22 13:28
"
"23" NA
"24" NA
"25" "作者YesManRoger (羅傑先生)看板Stock標題Re: [新聞] 衛冕者郭哲榮 選禾伸堂華新科時間Sun Jul 22 08:22:32 2018
大家早

昨天經歷了暴風雨

紙箱都濕爛了

幸好地下街可避雨：）

今天出大太陽...



哲哲鐵粉真的多

尤其他Q1壓顯卡

榮獲第ㄧ

有沒有真的+是沒差啦！

論點可供ㄧ般小股民做（參考）

我覺得分析不錯

但別忘了

他選的這週跌了約20%

請問

以ㄧ般小民能承受的住？


借題講ㄧ下古

很多人看衰被動下場=6150



6150 我們家有交幾顆料

去年生意真的好

但股價沒飆

員工很多都有買

說（小）賺便當錢...

主管可能換了雙B

大家好不歡樂



今年拉貨有點狀況

虛擬幣退燒原因之ㄧ）

股價卻到400多

這合邏輯？



最高點隔天後直接下山

等殺光後剩下散戶在互相取暖

體質偏弱的

真的飆ㄧ波後7天見

最近有小漲的情況

不怕死的繼續來



當時有位新朋友被套在高點

（他前段小賺）

很慌張

趕快上PTT股版研究如何止血？

1.ㄧ張不賣佛系投資法

2.壯士斷腕法

3.抄底攤平大法

4.本多忠勝法



大家猜他用哪種？

Ans:3

越抄越底

300多的股價

攤平三次沒成功

直接畢業（-3xx)



被動的需求

在業界的人士應該清楚

104堆積如山又怎樣

採購不用天價買

有貨

再吵

又漲ㄧ波@@

再者

陳老闆何許人也？

焦師傅何許人也？

漲幅是真

炒股更是真

不要在拿EPS多少乘幾倍了

每次看老師拿出來講真的吐血

好與不好和股價關係只是...（看看）

真的是要洗那些融資+坑殺小股民

讓你輸到脫褲子在開賓利過去笑



有多的（閒錢）下星期在進來衝ㄧ波

不管傻多派還是嘎尾老師派

上星期三觸底ㄧ根黑K

有朋友笑我說來抄底囉

買30張（61xx）

結果星期五直接再吃ㄧ根黑K ^_^



富貴險中求

共勉之











--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 114.136.33.183
※ 文章網址: https://www.ptt.cc/bbs/Stock/M.1532218954.A.20D.html
推 house911: 抄底攤平(-3XX)  單位是萬???
07/22 08:28
33X萬，連本都賠進去，這支死很多人
上星期勇多繼續+
推 Bv999: 賠300多萬吧07/22 08:30
※ 編輯: YesManRoger (114.136.33.183), 07/22/2018 08:35:10
推 turnpoint: 恕我魯鈍，所以這篇是看空被動就對了？07/22 08:32
→ turnpoint: 我怕我解錯籤詩了07/22 08:33
看標的？
假被動or代理商：看有沒有人炒，沒炒...
真被動：過高會修正，但應會在洗ㄧ波上去
選體質好的別亂抄底或亂空
7月振盪會把前半年獲利吃光
※ 編輯: YesManRoger (114.136.33.183), 07/22/2018 08:52:28
推 NSKB: 所以你也套了07/22 08:36
（-40）上篇有說，我不刪文
黑K吃到飽
沒辦法
不能盯盤就是必死
連止血都沒辦法
忙完收盤就這樣了

推 house911: 周五被動跌停價附近 蠻多人進去炒底 應該是賭跌深反彈07/22 08:38
→ house911: 上周三抄底的應該就吃黑K了07/22 08:39
推 genius86: 大家都住套房了07/22 08:40
推 turnpoint: 上週被動幾乎都是5根黑K，不管哪天進場作多都是套的07/22 08:40
推 HydeRufus: 只有拉高空賺錢07/22 08:42
沒錯
→ banmi: 我覺得EPS多少乘以幾倍,是在長年穩定獲利下才適用...07/22 08:46
對...被動別，會死
※ 編輯: YesManRoger (114.136.33.183), 07/22/2018 09:05:01
推 mypower: 我覺得星期一如果有大跌的話盤中是有可能會拉起來拉，不07/22 09:18
→ mypower: 過會不會跟哲哲說的一樣反彈，大彈，很難講07/22 09:18
推 m4vu0: 明天被動大概是開高走低07/22 09:21
殺到融資全躺平
→ m4vu0: 設備上游雷科就是這樣07/22 09:22
推 stefania: 6150真的冤魂超多07/22 09:24
至少我認識就5人
→ fabienryan: 多空國巨，爽訂CX-5或XC40，感謝~07/22 09:39
上搓下洗也幾百了
推 manpower1216: 萬般拉抬皆為出貨07/22 09:47
→ NSKB: 6150套400的，這輩子不知道還有沒有機會07/22 09:48
除非在炒ㄧ波
不然各種面看來蠻難的
推 mypower: 10年後再來看，或許超越40007/22 09:53
→ chaihao7: 各報頭條 mlcc 七月獲利仍高?07/22 09:57
是真的高
→ chaihao7: 是營收仍高，折折快買好買滿07/22 09:58
推 Bv999: 崩崩崩崩 崩好崩滿07/22 10:06
推 johnny0406: 請問6150真的住400樓的 到現在還撐到下去 沒有認賠？07/22 10:10
推 aragorn1128: 3、4不是應該搭配使用嗎? 攤平大法一定要本多才會勝 07/22 10:15
→ aragorn1128: 啊07/22 10:15
推 transcend789: 所以你是MLCC業內的嗎？07/22 10:22
是
※ 編輯: YesManRoger (114.136.33.183), 07/22/2018 10:52:49
推 n2001: 沒聽過賠錢的要死心認賠才是買點！?…… 07/22 10:57
推 ggfinger: Mlcc 大概7月是高點 8月之後就慢慢下去了07/22 11:20
內行的
推 Kmer: 大戶在賣 散戶在買 自從破1200開始空到現在 還沒有一個單是07/22 11:21
→ Kmer: 賠的07/22 11:21
K大威武
推 zhong33:  用力抄底https://i.imgur.com/OndPwd7.jpg07/22 11:26
推 ckshchen: 你朋友買了30張國巨!??? 哇 靠07/22 11:37
不是，國巨小民真的沒辦法
收盤-8
5張直接-40
推 Mr30cm: 板上很多嘴炮空氣單說自己買了多少多少幾百張的，一些在07/22 11:40
→ Mr30cm: 傻多暗夜裡吹哨，揪些傻多結伴比較不會孤單，還可以互相07/22 11:40
→ Mr30cm: 取暖說等反彈。    等反彈、說反彈，心裏就一直期待會向上07/22 11:40
→ Mr30cm: ，過去多少人因為這樣賠死了？ 法人黑手都知道阿呆散戶這 07/22 11:40
→ Mr30cm: 心態，被動要彈回之前高點....... 阿婆生子拉～～ ^  _  ^07/22 11:40
30cm大
空氣單其它類股我不敢說
這波被動傻多真的多單
路人看
淦亂射也賺錢
反彈是ㄧ定會啦！
但真的別期待太多就是
慘戶賠死是ㄧ定要的
業內很多人只賺到前ㄧ小段就下車
原因很多不贅言
黑手是很恐怖的
※ 編輯: YesManRoger (114.136.33.183), 07/22/2018 11:54:16
噓 mirac1e: 散戶一定要死 這是定律07/22 12:23
推 yan08572002: 哲哲跟本廢物沒料 07/22 12:37
哲哲老師當時顯卡很狂

推 jing0607: 鴿覺得你分析的不錯，雖然鴿沒玩過被動，不過被你說的07/22 13:56
→ jing0607: 心癢癢的，以上。07/22 13:56
推 AGODC: 高點就是這樣，出大量紅K就是減碼，出大量黑K就是逃，但是07/22 14:10
→ AGODC: 停損不是人人做得到 07/22 14:10
人踩人啦～
推 cuham: 所以第三季獲利出來就是散戶末日嗎？ 07/22 14:21
7月淡季
8月看盤市
不對就要閃
但我是會放著
推 Subtlewei: 所以現在就只是在賭反彈囉?07/22 14:48
之前獲利吐回去
最壞情況就0（不吃本）
推 gn7722: 國巨比撼訊..... 07/22 14:51
上次有前輩尻說是ㄧ樣死法
推 Alen0806: 慘戶賠死是一定要的XD 07/22 15:14
咦...是的
推 iloveloveptt: 看不太懂 所以是可以空嗎？07/22 15:32
我傻多
怕被酸民尻爆

5、6月有老師空6173被嘎爆
尤其6月初那4根紅K
ㄧ般空軍真的直接上山頭畢業
但上星期卻是笑呵呵
已訂車
慘戶別貪心
波段小賺便當錢
※ 編輯: YesManRoger (114.136.33.183), 07/22/2018 16:25:39
推 Mr30cm: 板上一堆人還在看多的認為會再彈 這就表示這段時間還未殺 07/22 17:01
→ Mr30cm: 夠 07/22 17:01
推 oneman123: 巨巨990T報到......QQ 07/22 17:11
推 EVO4: 推真假被動(原廠/代理商)…原預期Q3旺季需求會於7月下旬開出 07/23 07:14
→ EVO4: 、目前看來希望只是 delay而不是消失………… 07/23 07:14
"
"26" NA
"27" NA
"28" "作者ESunBoy (嘉偉老師大獲全勝)看板Stock標題[新聞] 13檔獲利看俏 盈面大時間Sun Jul 22 09:03:46 2018

1.原文連結：

https://goo.gl/2bf51V

2.原文內容：

https://imgur.com/AQyY2NW.jpg

雙王法說落幕，市場關注重心轉向第2季財報表現，伴隨外資買盤轉移，連兩周加碼，操
作策略回歸「基本面為王」，篩選第2季獲利可望報喜、歷年8月上漲勝率高，上周又有法
人資金進駐的嘉聯益、玉山金、寶成等13檔個股，可望成為吸金焦點。

　國泰證期顧問處協理蔡明翰表示，大盤整體架構上並未有明顯利空消息傳出，中美貿易
戰的干擾程度也暫時降低，研判市場重心會回頭關注上市櫃公司獲利表現，第2季財報因
有匯損金額回沖，有機會繳出淡季不淡的成績單，多數公司普遍每股獲利將比預期好。

　第2季財報將在8月中旬前公布完畢，隨著台積電法說利空出盡，市場買盤可望提前進駐
業績成長股，統計上周以來獲得三大法人合計買超逾千張、財務預估第2季EPS優於去年同
期，且近10年8月上漲機率超過6成以上的個股，包括嘉聯益、玉山金、彰銀、寶成、鑽全
、新纖、燿華、亞泥、鴻海、合庫金、台化、神基、緯創等13檔，有機會跟進台股漲勢。

　第一金投顧董事長陳奕光指出，台股目前資金面相對寬鬆，在亞洲市場中僅次於日本，
基本面上則因產業逐步進入出貨期，蘋果新機供應鏈動起來，上游零組件率先受惠，以及
國內外各具升息、公公併等題材的金融股，以及電動車相關、生技等都是近期可觀察的族
群。

　嘉聯益、燿華兩家PCB廠皆有打入蘋果供應商。拿下LCP FPCB訂單為市場最看好嘉聯益
後市營運的原因之一，近期雖有可成大股東賣股疑慮，不過三大法人上周逆勢買超力挺，
累計加碼1,992張，就往年經驗來看，近10年平均8月上漲機率達80％，近期股價經短線修
正出現止跌訊號，低檔翻揚向上。

　燿華則有機會將軟硬結合板產品提前交貨，帶動營運走揚，第2季營收45.55億元，年增
17.4％，根據財務模型預估，單季EPS有機會來到0.5元，優於去年同期0.34元，可望回沖
首季匯損金額9,000萬元，獲利進補。

　同樣因美元維持強勢，備受市場看好的氣動釘槍廠鑽全，由於新台幣第2季大幅貶值4.7
％，鑽全主要收入及資產皆以美元為主，法人預估單季業外將貢獻匯兌回沖5億元，加上
汽修工具需求轉佳，營運將明顯優於去年同期及首季表現。


3.心得/評論：

(1) 第2季財報將在8月中旬前公布完畢，統計上周以來獲得三大法人合計買超逾千張、

    財務預估第2季EPS優於去年同期。

(2) 近10年8月上漲機率超過6成以上的個股，包括嘉聯益、玉山金、彰銀、寶成、鑽全、

    新纖、燿華、亞泥、鴻海、合庫金、台化、神基、緯創等13檔，有機會跟進漲勢。

(3) 資金需要避險的朋友，可轉駐此13檔Q2績優股。

--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 180.217.127.242
※ 文章網址: https://www.ptt.cc/bbs/Stock/M.1532221429.A.731.html
推 r8101202: 殘了，被點名了 07/22 09:13
推 cowaksor: 倒貨了 07/22 09:14
推 house911: 6153 好大一座山 上面套一堆  法人帶散戶登山?? 07/22 09:17
噓 meltdown: 點屁點 07/22 09:22
→ king1412: 出貨文？ 07/22 09:32
推 sunnyhung: 噴 07/22 09:37
噓 GoOdGaMe: 喊空作多玉山哥 慘套山頂的打工仔 07/22 09:38
推 hirosue5566: 被點到了，亞尼 07/22 09:52
噓 Federer4ever: 996153… 07/22 09:54
推 Midcarry: 呵呵 鴻海 呵呵 07/22 09:59
推 CMRFAR: 被點名了 QQ 07/22 09:59
推 F0r: 只有一張鴻海 零股玉山金 難道我完蛋了嗎? 07/22 10:03
推 a24285293: 6153 呵呵 07/22 10:13
推 kevinken: 2367~~ 07/22 10:25
推 libramog: 合庫不要再漲了好嗎 我想存啊 07/22 10:29
噓 duck12321: 。 07/22 10:31
→ tctv2002: 完了 我大神基被點名了 07/22 10:38
推 faultless: 新纖真的一直穩步向上，該追嗎 07/22 10:48
推 joe2: 下週準備出貨 呵呵 07/22 10:56
推 SweetLee: +～都說要十年對稱跌幅了 你買個股是能賺多少？ 07/22 10:59
推 northwater: 合庫出掉惹 07/22 11:05
推 Relix: 鴻海衝啊 07/22 11:46
推 flightmoon: 空單list get 07/22 12:38
推 s9009811: 亞泥被點了 07/22 13:06
推 cocolo60: 6153 56-60一堆冤魂，法人那麼好心帶上去救人？ 07/22 13:35
→ rockon15: 跟著法人走  標的都選好了 07/22 13:52
→ rockon15: 比起你自己研究好多了 07/22 13:53
推 a22804649: jojo 1527 07/22 14:53
→ omnistone: jojo 9904 07/22 14:57
推 tvc1004: 1409雷聲大雨點小啊 07/22 15:31
推 breeze2012go: 9904破底 07/22 16:39
推 babypanda: 可愛的妮妮上榜了 07/22 16:47
噓 yen0829: 6153，從五月底進msci以後就沒給我好臉色過 07/22 17:07
噓 wxes30431: 我的寶成快跌到30別再喊了... 07/22 17:48
推 tom71384: 慘1409被點到了... 07/22 20:02
推 Petrovsky: 真好心 07/22 23:18
"
"29" NA
"30" NA
"31" "作者Conector (Conector)看板Stock標題[新聞] 三星小米稱霸印度：出貨量各達990萬部 總時間Sun Jul 22 09:14:45 2018
1.原文連結：
https://news.cnyes.com/news/id/4170572?exp=a

2.原文內容：
據統計機構Canalys最新報告，在剛過去的二季度，小米和三星在印度智能機市場的合並
份額從去年的43%提升到創紀錄的60%。其中小米出貨超990萬台，占比30.4%，同比增長
106%；三星出貨990萬台，占比30.2%。同比增長47%。

3.心得/評論：
台灣手機品牌廠看來走會愈走愈窄
htc及asus只會愈做愈沒優勢
上拼不過蘋果，下拼不過中國品牌
不上不下，卡在中間，只等被夾殺。
不如做手機代工比較實在，看好和碩、鴻海、緯創。

--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 150.116.107.18
※ 文章網址: https://www.ptt.cc/bbs/Stock/M.1532222088.A.B0F.html
→ y1896547: 台灣品牌和代工好像都很慘 07/22 09:17
→ eemail: 對岸那套台灣不是不會 問題是在數量 07/22 09:54
推 iverboy: 個人感覺，小米手機沒asus好用 07/22 10:45
→ witchcoocoo: 是否該直接買小米或三星的股票呢？m(._.)m 07/22 11:10
推 a29976137: 手機難在成長 07/22 11:17
→ flash789: 你什麼時候產生代工比較好的錯覺了 07/22 11:31
→ TaiwanUp: 四大基金應該入股三星 利潤比中國手機高 市佔又趕上了 07/22 11:51
推 anaydh: 小米不錯用... 07/22 12:30
推 guanole: 問一下asus什麼時候在中國品牌之上的？ 07/22 12:37
→ protoss: 就以前牌子少的時候沒搶下市佔...賺不到錢就很難越做越好 07/22 15:50
→ protoss: ...後來華碩想學大陸手機這樣先做爛爛的再逐漸調整...又 07/22 15:51
→ protoss: 沒大陸那種專門吃噴的市場去養...當然沒幾年就裁員了... 07/22 15:51
→ protoss: 自己本土市場其實也沒多支持本土品牌當然鐵倒的... 07/22 15:52
→ aweilin: 代工也很慘阿，量大的台灣都接不到了 07/22 19:43
"
"32" NA
"33" NA
"34" "作者kof70380 (小隆)看板Stock標題[新聞] 伊朗做這動作... 油價恐飆上每桶100美元時間Sun Jul 22 09:39:10 2018
1.原文連結：

http://ec.ltn.com.tw/article/breakingnews/2495720

2.原文內容：


    伊朗最高領袖哈米尼（Ayatollah Ali Khamenei）昨天表示，支持總統羅哈尼（Hassa

n Rouhani）的建議，稱伊朗可能會停止石油出口，並表示與美國的談判將是「明顯的錯誤

」，此舉恐刺激國際油價飆高。


    根據《路透》報導，美國總統川普（Donald Trump）5月宣布，退出2015年7國簽署的

伊朗核協議，並宣布對伊朗的新一波制裁，要求各國從11月起，全面停止向伊朗採購石油

。對此伊朗打算採取反制措施。


    由於美國的新制裁，伊朗的石油出口量可能在年底前下降2/3，在世界其他地方的供應

中斷的情況下，石油市場恐面臨巨大壓力。若伊朗真的採取相關反制手段，專家預估可能

讓油價飆高，甚至可能飆破每桶100美元。


3.心得/評論：

石油正二的ETF買點到了？？2618、2610要小心了？？

--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 36.239.32.86
※ 文章網址: https://www.ptt.cc/bbs/Stock/M.1532223556.A.8C4.html
推 DaringDo: 頁油岩業者表示： 07/22 09:42
噓 fman: 恐恐恐，台媒只知道用恐來危言聳聽，這篇還不敢註明記者名， 07/22 09:45
→ fman: 現在是2018年，OPEC的影響力已經不如兩次石油危機時期了，非 07/22 09:46
→ fman: OPEC產量也很大，就更別提頁油岩業者了 07/22 09:47
推 joeyangjoe: 伊朗的經濟結構，停產的話應該撐不了多久... 07/22 09:58
→ tctv2002: 頁岩油的出現 讓中東國家不能輕易操控油價 07/22 09:58
→ luckylance: 農場標題 07/22 10:07
推 roberchu: 要是真的如此...可能會打亂美國升息的節奏XD 07/22 10:10
推 mopigou: 這新聞看起來，很不恐怖 07/22 10:18
推 frice: 伊朗2016年才解除禁止石油出口 過去兩年 不管別人說啥 他就 07/22 10:22
→ frice: 一直大量賣 拉低油價 檔人財路不被電才有鬼 07/22 10:22
→ yfguk6685: 走地下市場而已 07/22 10:23
推 qwert1122: 現在新聞標題 都要這樣嗎 07/22 10:25
推 panda2: 就是故意要油價上漲頁岩油才可以賺啊 07/22 10:38
噓 sofaboy24: 什麼動作？ 記得只有國小畢業嗎 07/22 10:40
推 Jaymainal: 我只查到2016 伊朗只佔世界4.3%出口 這能影響多大 07/22 10:59
噓 as508114: 農場標題 07/22 11:18
噓 jhsmr: 恐恐恐...... 07/22 11:27
推 adream: 停止石油出口，那伊朗不就要破產了 07/22 11:40
推 peoplefu5566: 換有些國家根本沒在鳥美國制裁，中國 印度這兩個買 07/22 11:53
→ peoplefu5566: 家還是會穩定進口 07/22 11:53
噓 nicholaslee: 看來油價會跌 07/22 11:57
推 ynd: 笑惹 07/22 12:05
→ ynd: 美國油頁岩：喜迎伊朗不抽油 07/22 12:05
推 Pelecanidae: 堂堂大報為何要自作賤放農場標題 07/22 12:18
推 Leo4891: 停止出口餓到自己  夠 07/22 12:22
